numParticles,numIterations,Jbest,Time Elapsed,xi1,xi2,xi3,xi4,vi1,vi2,vi3,vi4,t1,deltaE,t2
110,500,4.2927,104.57,0.99809,0.17174,-0.11651,0.99927,-0.022608,0.19238,-0.088936,0.29753,1.1899,5.6302,3
110,500,1.2292,45.346,-0.48596,-1,1,-0.4408,0.16483,-0.86704,0.99985,0.84555,0.84745,3.0966,0.38178
110,500,1.0949,45.173,-0.11696,-0.33449,0.042956,0.571,-0.32167,1,0.10576,0.3403,0.68104,2.802,0.41383
110,500,1.405,46.259,-0.70756,1,-1,-0.49184,1,0.093828,-0.97169,0.58769,0.84446,3.7434,0.5605
110,500,1.198,44.838,0.022056,-0.51187,-0.58196,-0.098871,0.59216,0.25639,-0.36787,-0.26148,0.73535,3.3057,0.4626
110,500,1.0854,45.213,-0.14468,0.47249,0.18031,0.10017,-0.14647,0.4375,-0.18541,0.92755,0.67102,2.7417,0.41438
110,500,3.8923,112.24,-0.54404,-0.55506,-0.2107,-0.1192,-0.044794,0.48887,-0.25861,0.35408,1.3966,0.788,2.4957
110,500,1.0929,47.603,0.33032,-0.37992,-0.16324,0.69784,-0.12858,0.076408,0.59813,0.31536,0.68284,2.6722,0.41001
110,500,1.2386,46.201,-0.28137,-0.073468,0.070686,0.60918,0.99139,-0.58323,-0.5736,-0.056277,0.71433,3.4319,0.52431
110,500,1.1081,46.61,-0.28887,-0.70239,0.9283,1,-0.14739,0.2084,-0.59123,-0.7677,0.69459,2.8122,0.41352
110,500,2.2427,52.614,-0.33112,0.86076,0.71527,-1,0.21414,-0.56729,1,1,0.64669,3.2628,1.596
110,500,1.0897,45.812,0.22109,-0.76132,0.58912,-0.33713,-0.16744,0.043667,-0.012923,0.046594,0.67695,2.694,0.41278
110,500,3.5406,103.75,-0.9012,-0.55057,-0.20399,-0.14049,0.30756,0.7577,0.71502,-0.43311,1.2447,5.8015,2.1826
110,500,1.2102,48.708,0.029752,-0.1006,1,0.27812,-1,1,0.49001,-0.036762,0.70471,2.1856,0.50549
110,500,1.1682,45.338,-0.75182,1,1,-1,-0.79524,1,1,0.85821,0.71366,2.584,0.45455
110,500,1.2911,45.166,-0.22042,1,1,-0.81966,-0.71545,-0.25403,-0.62054,0.44214,0.74083,1.973,0.55025
110,500,1.1996,45.136,-0.58985,-0.18651,0.20609,0.3111,-0.50335,0.46463,0.24696,-0.28159,0.7708,2.7327,0.4288
110,500,1.1802,45.679,-1,0.73982,1,-1,-0.20497,1,1,-1,0.77597,3.0526,0.40424
110,500,1.1295,46.521,0.31933,-0.3738,-0.2155,0.57215,-0.58255,0.939,-0.85872,-0.23309,0.6888,2.4234,0.44073
110,500,1.1554,46.779,-0.23382,-0.40792,0.68499,-0.35269,-0.58617,0.24246,0.5527,-0.21,0.70585,2.5611,0.44951
110,500,1.095,48,0.27174,-0.21754,0.20269,-0.58704,-0.10185,1,0.089915,0.62446,0.68078,2.8101,0.41421
110,500,2.1899,52.451,1,-0.96969,-0.099349,-0.66829,-0.017126,0.63964,-0.91635,-1,0.81573,1.4947,1.3742
110,500,1.1757,47.361,-0.15927,-0.67829,0.049079,-0.28193,-0.44712,-0.16617,0.70894,1,0.75209,2.6552,0.42358
110,500,1.0846,46.758,0.15266,0.011869,-0.57316,0.25871,0.11529,-0.71263,0.10445,0.73897,0.67328,2.752,0.41134
110,500,1.0964,46.047,0.12486,0.092052,-0.15014,-0.34003,0.26885,-0.23969,0.37323,0.038324,0.67523,2.9144,0.42115
